Name                       Version                         Rev    Tracking            Publisher      Notes
bare                       1.0                             5      latest/stable       canonical**    base
brave                      1.91.180                        646    latest/stable       brave**        -
core22                     20260225                        2411   latest/stable       canonical**    base
core24                     20260410                        1643   latest/stable       canonical**    base
desktop-security-center    0+git.25daa58                   151    1/stable/…          canonical**    -
discord                    1.0.144                         293    latest/stable       snapcrafters*  -
firefox                    152.0.3-1                       8568   latest/stable       mozilla**      -
firmware-updater           0+git.5645b80                   226    1/stable/…          canonical**    -
gaming-graphics-core24     25.2.2~kisak1~n                 13     kisak-fresh/stable  canonical**    -
gnome-42-2204              0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable/…     canonical**    -
gnome-46-2404              0+git.f1cd5fa-sdk0+git.ca9c59c  153    latest/stable       canonical**    -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…     canonical**    -
mesa-2404                  25.2.8-snap278                  1781   latest/stable       canonical**    -
nvim                       v0.12.3                         4813   latest/stable       neovim-snap    classic
prompting-client           0+git.33cd821                   222    1/stable/…          canonical**    -
snap-store                 0+git.10310e85                  1367   2/stable/…          canonical**    -
snapd                      2.75.2                          26865  latest/stable       canonical**    snapd
snapd-desktop-integration  0.9                             387    latest/stable       canonical**    -
steam                      1.0.0.85                        231    latest/stable       canonical**    -
